Filename,Transcript
d1189-T10,also erschtäns ämol hätmers im viärzätä jorhundert
d1189-T100,braaf klvierschtundä gha
d1189-T1000,glaubäs nöd nai
d1189-T1001,baiz nöd irgendwiä im kantonemänt oder
d1189-T1003,dä hät dä kadi mit oi jemols
d1189-T1004,gret odär dä zugfüärer zum oi informiärä
d1189-T1006,dänn das sind dänn nöd im sinn
d1189-T1007,vo iär von salis
d1189-T1008,grossi überblik ggsi sondern
d1189-T1009,das sind dänn scho me befeel ggsi
d1189-T101,ich bi immer än schtümper blibä han aber
d1189-T1010,aha
d1189-T1011,wenig hätmän öis det durä
d1189-T1012,bim bim frei bim oskar frei isch dänn vorcho
d1189-T1013,bald nachär dass är zum bischpil
d1189-T1014,separat
d1189-T1015,über sin nachrichtänofiziär zum bischpil ggsait hät wänn dä
d1189-T1016,bundesrat und dä gänäral kippt
d1189-T1017,dänn kämpf ich wiiter
d1189-T1018,hät är zur
d1189-T102,groossi froid gha s klavier
d1189-T1020,ghört
d1189-T1021,jaa das waissi nöd
d1189-T1022,aber händ si damals überhaupt öppis mitübercho vo dä
d1189-T1024,nöd nöd i däm thitl
d1189-T1025,aber mä hät äfäch natülich für di säbä tüpä
d1189-T1026,das han ich natülich erscht ghört won ich
d1189-T1027,ich bi jo erscht im ainäviärzgi früälig
d1189-T1028,zu dem infantrii regimänt gschtossä
d1189-T1029,und das hät ja voranä scho
d1189-T103,schpillt hüt no ä rollä jez wird s schwär will ich s nümä guät ggsee
d1189-T1031,da hät natüch fü d truppä
d1189-T1032,än enormän iidruk gmacht
d1189-T1033,wänn dä oberscht sait also
d1189-T1034,mir machäd dänn da nöd mit wänn s
d1189-T1035,ja
d1189-T1036,und mä wär a fähig ggsi
d1189-T1037,nach dem zäätä mai sind si denn lang im
d1189-T1038,nai gar nöd
d1189-T1039,und dänn nach viär wuchä hätmer öis wider hai gschikt
d1189-T1040,und wider tiifschtä fridä dihai
d1189-T1041,und dänn isch natülich schlag uf schlag cho das isch ja da ales
d1189-T1042,jo nai s isch kain monät ggsi denn isch
d1189-T1043,ja ich chönnt luägän im büächli
d1189-T1044,also churzi ziit simmer wider entlaa wordä
d1189-T1045,und dänn hät ja isch ja d idee ggsi
d1189-T1046,jo ez isch frankrich hät kapituliärt
d1189-T1047,ängland tuät sich do no so chli
d1189-T1048,äm profiliärä so guät s gat
d1189-T1049,aigetlich isch ja dä chriäg färtig
d1189-T105,s ganz gross hobbi isch s meggano ggsi
d1189-T1050,ond di tütschä hettäd ärwartäd dass mir demobilisiäräd
d1189-T1051,und das hät mär dänn aber ebä nöd gmacht
d1189-T1052,ond di tütschä das säg ich ez vo
d1189-T1053,schpöter händ warschinlich
d1189-T1054,immer scho s gfüül gha dass si s
d1189-T1055,bescht gschäft machäd mit ärä
d1189-T1056,schwiz mit ämänä
d1189-T1057,knurrendä
d1189-T1058,aber doch zimmli willigä bundäsrat
d1189-T1059,mitämä fähigä gisõ
d1189-T106,das isch mini wält ggsi
d1189-T1060,das hät mä gwüsst dass dä guät isch
d1189-T1061,und ärä armee wo mindeschtens i der lag wär d schwiz
d1189-T1062,z aso
d1189-T1063,duräzbringä aso aifach dass ornig
d1189-T1064,im fadäzainlil härrscht
d1189-T1065,aber mä hät im viärzgi jo dänn doch demobilisiort
d1189-T1066,ja und ja das isch dänn ebä so
d1189-T1067,warschinlich ä ä mischrächnig ggsi aigetlich
d1189-T1068,chönnt män alli haischikä
d1189-T1069,und uf där andärä siitä isch dä chriäg doch nöd ganz färtig ggsi dänn isch jo dänn
