Filename,Transcript
d1198_2-T2219,wèred de mobiilmachig hèt jò öppen emòl ghaisse dèè chaib wööremer den verschüüsse he
d1198_2-T2220,und ain koleeg hèmmer secher en puurekoleeg
d1198_2-T2221,das dèè för e
d1198_2-T2222,wen dèè mit em haüptling öppis hèt wöle go rede is kompaniibüro hèt er sich möse
d1198_2-T2223,feldmarschmèèssig aazie und go aamelde
d1198_2-T2224,ganzi kasumpel möse mitnee
d1198_2-T2225,zum rede he
d1198_2-T2226,aso dèè wèèr der ainzig ggsii vo de kompanii wo da sicher gmacht heet he
d1198_2-T2227,gredt devoo hèt menge
d1198_2-T2228,menge he nöd nu aine he
d1198_2-T2229,jò uf daa hèt me nòtüüerli scho lang planget
d1198_2-T2230,aber dèè hets sicher gmacht
d1198_2-T2232,i sèbe aber doo hem meer d ofizier nöd gsèè
d1198_2-T2233,dasch genaau die wider esone erschiinig ggsii he
d1198_2-T2234,waas het ene daas gsait wo si ghöört hend vo de
d1198_2-T2235,dòò im wald uss isch käine mee choo
d1198_2-T2236,wie mained sii nöd verschtande
d1198_2-T2237,d ofizier
d1198_2-T2238,ebe daa chamer sich au nüme vòòrschtele hüt die tottaal vedunklig womer gchaa hènd
d1198_2-T2239,di di nö̀ö̀chere jò vilicht nò en en lütnant aber dò isch kan
d1198_2-T2240,do isch de pflanzeschuz ganz intensiif wòòrde nò wèret em chrieg
d1198_2-T2241,en hauptma oder en oberscht ume gsii nöd
d1198_2-T2242,vo wöwee au aini he do hemmer nu zwoo fabrigge gchaa wo so schpröze gmacht hend he
d1198_2-T2243,hend jò nöd öberal chöne sii
d1198_2-T2244,aber da isch äifach en vedamte huere wierwaar ggsii
d1198_2-T2245,zwaite mobiilmachig wo ales so schnel gòòt also au bigriifflich äinersiits he
d1198_2-T2246,tierischi schèdling hèts au immer gchaa und hèts hüt nò
d1198_2-T2247,bigriifflich
d1198_2-T2248,aber sofòrt hèt me wider tenggt jòò ez gseet me wider ez segglets wider fuert he
d1198_2-T2249,dèè iidrugg hèt me ö̀ppe mòòl scho öbercho he
d1198_2-T2250,und eben e wuet au hem meer au e grenzeloosi chaibe wuet gchaa und gfluecht we
d1198_2-T2251,we fuermane he
d1198_2-T2252,wens wider so gschlauch hend oder das aim
d1198_2-T2253,z nacht am zwölfi
d1198_2-T2254,alaarm groossen alaarm mached für di ganz kompanii und uf em dòòrfplaz
d1198_2-T2255,soo dur schtette müend e halb schtund zugschuel mache nu wel de hauptmaa psòffen isch nöd
d1198_2-T2256,mhm
d1198_2-T2257,bis zum hèrpscht ane bis churz vòr der èrnt he
d1198_2-T2258,wie isch den das chriegsendi ggsii für sii
d1198_2-T2260,und me hèt den vo dère
d1198_2-T2261,inwasioon ghöört he
d1198_2-T2262,vom seggste
d1198_2-T2263,viert oder seggste juni vierevierzg oder vo dem
d1198_2-T2264,deedethee hani s eersch mòòl im drüevierzgi für
d1198_2-T2265,veschideni zoone mache
d1198_2-T2266,a de französische küschte he
d1198_2-T2267,i bi èggstra mòl döt abegraist nò
d1198_2-T2268,dasi die küschte mòl ha chöne gsee ggale und die umgebig dò he
d1198_2-T2269,mit dene punker und
d1198_2-T2270,die risige soldaatefridhòòf
d1198_2-T2271,im gliiche blat ine das s blat bruu wòrden isch nöd
d1198_2-T2272,aber si hend doo im aktiifdienscht hend si devoo ghöört ghaa das
d1198_2-T2273,d inwasioon i de nòrmòndi passiert isch
d1198_2-T2274,doo hèt me scho chli öppis ghöört aber me hèt au z wenig gnaau gwüsst
d1198_2-T2275,vo dem riisen ufwand wos jò pruucht hèt he
d1198_2-T2276,wo vo
d1198_2-T2277,hm aber was hend si den gwüsst devoo
d1198_2-T2278,oder was hèt ene
d1198_2-T2279,ene daas gsait ghaa
d1198_2-T2281,inwasioon i de nòrmòndi
d1198_2-T2282,jò me hèt sich jò kai vòòrschtelig chöne mache
d1198_2-T2283,sus het ich nöd eggstra die rais gmacht döt abe
d1198_2-T2284,dasi d küschte gsèè haa
d1198_2-T2285,zimmli wiit ume he
d1198_2-T2286,ersch doo isch mir daa
d1198_2-T2287,zum bewustsii choo wa daa
d1198_2-T2288,gchòschtet hèt a uufwand
d1198_2-T2289,und die riisenòrganisazioon
d1198_2-T2290,i heet gèèrn wen si mir das nòchli gnaauer chönted vezele
d1198_2-T2291,wär bald z verwundere öbs daa hüt nò chönted
d1198_2-T2292,so mengs flugzüüg ufzbüüte
d1198_2-T2293,isch en usseròòrdentliche guete beròòter ggsii ussedienschtvetrètter mit
d1198_2-T2294,und e paartuusig schiff
d1198_2-T2295,ooni das di tütsche daa ggaant hènd he
d1198_2-T2296,di tütsche sind jò totaal überrascht wòòrde die hènd immer
d1198_2-T2297,zwee drai taag schpö̀ö̀ter grèchnet chö̀m den daa s chö̀m schoo de angriff he
d1198_2-T2298,die inwasioon chö̀m
d1198_2-T2299,aber was hèt ine das gsait ghaa wo sii
d1198_2-T2300,i de schwiiz devoo ghöört hènd oder hènd si daas gaar nöd vernoo
d1198_2-T2301,jò ez söts den öppe
d1198_2-T2302,z end gòò nöd
d1198_2-T2303,me hèt aifach lang
d1198_2-T2304,hèt efang mit dene chaibe gedangge glèbt jò ez isch
d1198_2-T2305,jòò zwaiehalb jòòr hèt me sich efang gwöönt dasd wider dòò bisch und wider dihai bischt das wider i dienscht hoggisch he
d1198_2-T2306,me wèèr wider emòl gèrn dihai ggsii he
d1198_2-T2307,und as chriegsendi sèlber chönd si siich dòò erinnere was da für en taag ggsii isch
d1198_2-T2308,wie
