Filename,Transcript
d1073-T0,im jahre zweitausend
d1073-T1,frau p*** wo und wann sind sie geboren
d1073-T10,in in dem haus
d1073-T1002,und aber haben sie gespürt das für die familien
d1073-T1003,zeit ein klein schwieriger geworden ist so in den dreissiger jahre also dann sie sind die zum teil angefindet worden oder
d1073-T1007,es kann schon wesen später dernommen aber
d1073-T1008,sind sie die leute sie ruhig ruhig geblieben bei uns
d1073-T101,wo unsere vater fortgegangen ist auf die schiffsreise das ist alles zusammen in unserem besitz
d1073-T1010,und heim heute noch kommen sie auf gelderkinder
d1073-T1011,ein teil von der nachkommen
d1073-T1012,und komme gan lugen wie es geht zu gelterkinder
d1073-T1013,bekannte wo sie heim also
d1073-T1014,man hat wirklich mit den juden gar gar gar keine sachen gehabt
d1073-T1016,sind sie von uns
d1073-T1018,wo mit ihnen aufgewachsen wesen
d1073-T1019,wo jahrzehnten lange dorne dort gewohnt wesen
d1073-T102,wir heim eine nachbar gehabt das ist der landjäger gewesen
d1073-T1021,hat man dass die das verhältnis weitergeführt
d1073-T1023,und sie sind auch nicht weg gegangen also
d1073-T1025,die sind geblieben alle ausser die meine schulfreundin
d1073-T1028,das einmann dientisheimen wo
d1073-T103,nicht der polizist der landjäger
d1073-T1030,geheieiraten hat in elsasse und nachher mit der familien
d1073-T1031,vergast worden ist ja ja
d1073-T1034,vielleicht jetzt etwas ein klein erfreulicheres neununddreissig ist ja sehr wichtig gewesen die landesausstellung in zürich
d1073-T1035,ja
d1073-T1036,sind sie dort gewesen haben sie die besucht
d1073-T1038,ich wäre gern dort gewesen sehr gern
d1073-T104,hat man dem gesagt
d1073-T1040,aber der mein zweiten kinder hat gesagt jetzt geht man nicht mehr
d1073-T1042,zu erst muss ich auf der welt wesen
d1073-T1043,und wegen kuno wo ich jeder tag erwartet habe in der zeit
d1073-T1044,habe ich nicht können an die landesausstellung gehen
d1073-T1047,das ist ihren ersten
d1073-T105,und der hat daheim eine polies gehabt
d1073-T1051,der erste ist anno neunzehnhundertsiebenunddreissig am fünften märz geboren ja
d1073-T1053,sie haben aber viel
d1073-T1054,gehört und und gelesen wahrscheinlich über und verzählt übergekommen
d1073-T1058,ja und ich bin begeistert gewesen davon
d1073-T106,und dann ist es
d1073-T1060,und ich habe es bedauert
d1073-T1061,dass ich nicht habe können gehen wenn ich das so darf sagen ja
d1073-T1062,hauptsächlich eine sehr sehr nume positive stimmen gehört
d1073-T1064,von landesausstellung
d1073-T1065,also ein gelderkinder sind viele gegangen von
d1073-T1068,sicher das kann ich ni nicht ich kann nicht sagen ob viel oder wenig
d1073-T107,je nachdem vorgekommen dass der landjäger wo gut befreundet gewesen ist mit meinem vater
d1073-T1070,ich habe mich dann um anders gekümmert
d1073-T1071,aber also es ist so gewesen
d1073-T1073,und ihre eltern die haben dann nach wie vor das wirtshaus geführt
d1073-T1075,nein also der der vater ist ja gestorben an eine neunzehnhundertneunundzwanzig
d1073-T1077,ja
d1073-T1078,und dann hat es die ma meine mama weitergeführt
d1073-T1079,mit mit also mit mit mir zusammen
d1073-T108,dass da irgendneumen hat müssen eingegriffen und einer gan hohle und dann hat er über die nacht in dem bollis geschlafen
d1073-T1081,ich bin hauptsächlich dort gewesen mit meiner schwester
d1073-T1082,und dann meine schwester ist ja dann auch älter gewesen nicht und da heim mir das zusammen geführt
d1073-T1083,und heim und der bruder ist dann gewisse zeit auch daheim gewesen
d1073-T1084,nachdem der vater gestorben ist ist er auch noch heimgekommen und
d1073-T1085,ist dann der beste freund geworden von meinem
d1073-T1086,von vom fritz p***
d1073-T1088,und mit der zeit haben wir einander du gesagt
d1073-T109,wo man
d1073-T1090,so mit der zeit eben wie gesagt vorher nicht
d1073-T1092,dann haben sie also eine mehrfachbelastung gehabt sie haben einerseits geholfen im
d1073-T1094,und sie haben aber auch in der weinhandlung sind sie noch
d1073-T1095,haben sie gelugt das läuft
d1073-T1096,dann sie haben wahnsinnig viel arbeit gehabt in der zeit
d1073-T1097,ich erste
d1073-T1098,das allermeiste ist gewesen ich habe zwei kleine kindern gehabt
d1073-T11,aufgewachsen
d1073-T110,wo heute eine nicht einmal mehr e e ein tierlein dreininen dente mit einem vergitterten fenstern wo wir
d1073-T1100,und die kinder heim wir alles bedeutet
d1073-T1101,und ich habe aber daneben müssen
d1073-T1102,lugen und helfen ich habe keine lohn gehabt
d1073-T1104,ich habe müssen lugen und helfen und dafür heim wir
d1073-T1105,alle am gleichen familientisch gegessen
d1073-T1106,und wir heim dort können wohnen
d1073-T1107,und alle mein mann hat können gan schaffen und hat können gan zeichnen und können das machen
d1073-T1108,hat können seine sie bekanntenkreiss
d1073-T111,kinder allmal anegangen wesen und mit ihnen geschwätzt heim
d1073-T1110,hat er können erweitern
