Filename,Transcript
d1198_2-T2219,während der mobilmachung hat ja etwa einmal geheissen den keib würden wir dann verschiessen he
d1198_2-T2220,und einen kollegen haben wir sicher einen bauernkollegen
d1198_2-T2221,dass der für e
d1198_2-T2222,wenn der mit dem häuptling etwas hat wollen gan reden ins kompaniebüro hat er sich müssen
d1198_2-T2223,feldmarschmässig anziehen und gan anmelden
d1198_2-T2224,ganzen karsumpel müssen mitnehmen
d1198_2-T2225,zum reden he
d1198_2-T2226,also der wäre der einzige gewesen von der kompanie wo das sicher gemacht hätte he
d1198_2-T2227,geredet davon hat mancher
d1198_2-T2228,mancher he nicht nur einer he
d1198_2-T2229,ja auf das hat man natürlich schon lange belangt
d1198_2-T2230,aber der hätte es sicher gemacht
d1198_2-T2232,in selben aber da haben wir die offiziere nicht gesehen
d1198_2-T2233,das ist genau die wieder so eine erscheinung gewesen he
d1198_2-T2234,was hat ihnen das gesagt wo sie gehört haben von der
d1198_2-T2235,da im wald aussen ist keiner mehr gekommen
d1198_2-T2236,wie meinen sie nicht verstanden
d1198_2-T2237,die offiziere
d1198_2-T2238,eben das kann man sich auch nicht mehr vorstellen heute die totale verdunkelung wo wir gehabt haben
d1198_2-T2239,die die näheren ja vielleicht noch ein ein leutnant aber da ist kein
d1198_2-T2240,da ist der pflanzenschutz ganz intensiv geworden noch während dem krieg
d1198_2-T2241,ein hauptmann oder ein oberst umhin gewesen nicht
d1198_2-T2242,von vevey auch eine he da haben wir nur zwei fabriken gehabt wo so spritzen gemacht haben he
d1198_2-T2243,haben ja nicht überall können sein
d1198_2-T2244,aber das ist einfach ein verdammter huren wirrwarr gewesen
d1198_2-T2245,zweite mobilmachung wo alles so schnell geht also auch begreiflich einerseits he
d1198_2-T2246,tierische schädlinge hat es auch immer gehabt und hat es heute noch
d1198_2-T2247,begreiflich
d1198_2-T2248,aber sofort hat man wieder gedacht ja jetzt sieht man wieder jetzt seckeln sie wieder fort he
d1198_2-T2249,den eindruck hat man etwa mal schon übergekommen he
d1198_2-T2250,und eben eine wut auch haben wir auch eine grenzenlose keiben wut gehabt und geflucht wie
d1198_2-T2251,wie fuhrmänner he
d1198_2-T2252,wenn es wieder so geschlauche haben oder dass sie einem
d1198_2-T2253,zu nacht am zwölf
d1198_2-T2254,alarm grossen alarm machen für die ganze kompanie und auf dem dorfplatz
d1198_2-T2255,so durch städte müssen eine halbe stunde zugschule machen nur weil der hauptmann besoffen ist nicht
d1198_2-T2256,mh
d1198_2-T2257,bis zum herbst anhin bis kurz vor der ernte he
d1198_2-T2258,wie ist denn das kriegsende gewesen für sie
d1198_2-T2260,und man hat dann von der
d1198_2-T2261,invasion gehört he
d1198_2-T2262,vom sechsten
d1198_2-T2263,vierten oder sechsten juni vierzundvierzig oder von dem
d1198_2-T2264,ddt habe ich das erste mal im dreiundvierzig für
d1198_2-T2265,verschiedene zonen machen
d1198_2-T2266,an der französischen küste he
d1198_2-T2267,ich bin extra mal dort abhingereist noch
d1198_2-T2268,dass ich die küste mal habe können sehen calais und die umgebung da he
d1198_2-T2269,mit denen bunkern und
d1198_2-T2270,die riesigen soldatenfriedhof
d1198_2-T2271,im gleichen blatt innen dass das blatt braun geworden ist nicht
d1198_2-T2272,aber sie haben da im aktivdienst haben sie davon gehört gehabt dass
d1198_2-T2273,die invasion in der normandie passiert ist
d1198_2-T2274,da hat man schon klein etwas gehört aber man hat auch zu wenig genau gewusst
d1198_2-T2275,von dem riesen aufwand wo es ja gebraucht hat he
d1198_2-T2276,wo von
d1198_2-T2277,hm aber was haben sie denn gewusst davon
d1198_2-T2278,oder was hat ihnen
d1198_2-T2279,ihnen das gesagt gehabt
d1198_2-T2281,invasion in der normandie
d1198_2-T2282,ja man hat sich ja keine vorstellung können machen
d1198_2-T2283,sonst hätte ich nicht extra die reise gemacht dort abhin
d1198_2-T2284,dass ich die küste gesehen haben
d1198_2-T2285,ziemlich weit umhin he
d1198_2-T2286,erst da ist mir das
d1198_2-T2287,zum bewusstsein gekommen was das
d1198_2-T2288,gekostet hat an aufwand
d1198_2-T2289,und die riesenorganisation
d1198_2-T2290,ich hätte gern wenn sie mir das noch klein genauer könnten verzählen
d1198_2-T2291,wäre bald zu verwundern ob sie das heute noch könnten
d1198_2-T2292,so manches flugzeug aufzubieten
d1198_2-T2293,ist ein ausserordentlich guter berater gewesen aussendienstvertreter mit
d1198_2-T2294,und ein paar tausend schiffe
d1198_2-T2295,ohne dass die deutschen das geahnt haben he
d1198_2-T2296,die deutschen sind ja total überrascht worden die haben immer
d1198_2-T2297,zwei drei tage später gerechnet käme dann das es käme schon der angriff he
d1198_2-T2298,die invasion käme
d1198_2-T2299,aber was hat ihnen das gesagt gehabt wo sie
d1198_2-T2300,in der schweiz davon gehört haben oder haben sie das gar nicht vernommen
d1198_2-T2301,ja jetzt sollte es dann etwa
d1198_2-T2302,zu ende gehen nicht
d1198_2-T2303,man hat einfach lange
d1198_2-T2304,hat anfangig mit denen keiben gedanken gelebt ja jetzt ist
d1198_2-T2305,ja zweieinhalb jahre hat man sich anfangig gewöhnt dass du wieder da bist und wieder daheim bist dass wieder in dienst hockst he
d1198_2-T2306,man wäre wieder einmal gern daheim gewesen he
d1198_2-T2307,und an das kriegsende selber können sie sich da erinnern was das für ein tag gewesen ist
d1198_2-T2308,wie
d1198_2-T2309,können sie sich an das kriegsende selber erinnern was das für ein tag gewesen ist
d1198_2-T2310,ja dann haben alle kirchenglocken geläutet he
d1198_2-T2311,das ist beeindruckend gewesen so wie bei einem
d1198_2-T2312,der ersten mobilmachung he
d1198_2-T2313,das ist einmal beeindruckend gewesen he
d1198_2-T2314,und dass dann die
d1198_2-T2315,flugabwehr auf dem nolen oben nicht mehr funktioniert hat oder nicht mehr
d1198_2-T2316,zu nacht nicht mehr gedreht hat da mit ihren scheinwerfern das ist auch etwas wo einem anfangig ein klein beeindruckt hat
d1198_2-T2317,und dann haben wir dort schon ein paar nächte vorher
d1198_2-T2318,vor allem im vierundvierzig
d1198_2-T2319,februar vierundvierzig sind ganze nächte durch bombengeschwader da
d1198_2-T2320,über die gegend inhin
d1198_2-T2321,die hat man dann gehört he
d1198_2-T2322,das ist einem schon hart inhingegangen he
d1198_2-T2323,reagiert auf das spritzen
d1198_2-T2324,da wo sie da friedrichshafen total zu boden gelegt haben he
d1198_2-T2325,die unruhigen nächte und
d1198_2-T2326,sie können sich doch nicht vorstellen dass wir
d1198_2-T2327,feldmarschmässig einen nachtmarsch
d1198_2-T2328,übungsmarsch haben müssen
d1198_2-T2329,manchmal gemacht haben
d1198_2-T2330,von herisau aus das toggenburg aufhin
d1198_2-T2331,wildhaus
d1198_2-T2332,auf grabs abhin fahren
d1198_2-T2333,auf rohrschach
d1198_2-T2334,und wieder auf herisau
d1198_2-T2335,bei totaler dunkelheit sind wir durch die die löcher abgefahren
d1198_2-T2336,wie ist denn das noch ausgegangen mit der kritik
d1198_2-T2337,wir haben nur einen ding gehabt ein klein nach dem geruch
d1198_2-T2338,vom bremsgummi wir haben manchmal in einer nacht so einen bremsgummi durchhingetan he
d1198_2-T2339,haben wir wieder gewusst wenn es ein klein mehr gegümmelt hat
d1198_2-T2340,jetzt kommt ganz eine scharfe kurve
d1198_2-T2341,haben wir ein bisslein mehr abstand genommen dahinten
d1198_2-T2342,sonst kein licht
d1198_2-T2343,nur der letzte vom zug von jedem zug
d1198_2-T2344,hat so eine mickerige taschenlampe auf dem rücken gehabt
d1198_2-T2345,oder ist dorfmarsch wo ich habe müssen machen auf
d1198_2-T2346,von stadel
d1198_2-T2347,auf rapperswil
d1198_2-T2348,auch im februar
d1198_2-T2349,in einer bisigen kogen kälte
d1198_2-T2350,dass ich von dort weg
d1198_2-T2351,auf einer neeracher ried auf rümlang
d1198_2-T2352,oerlikon
d1198_2-T2353,durch die stadt durchhin fahren
d1198_2-T2354,am ganzen see nach aufhin auf rapperswil dass sie eine postkarte können einwerfen he
d1198_2-T2355,bei abso dunkel
d1198_2-T2356,absoluter dunkelheit
d1198_2-T2357,ich kein licht
d1198_2-T2358,oder irgendwo
d1198_2-T2359,die häuser sind ja auch
d1198_2-T2360,verdunkelt gewesen nicht die haben ja alle müssen blaue birnen darinnen haben
d1198_2-T2361,oder die läden zumachen eines von beidem
d1198_2-T2362,haben sie gewusst warum es die verdunkelung gibt
d1198_2-T2363,kann den namen nicht mehr ganz bezeichnung weiss ich nicht mehr ganz genau einfach
d1198_2-T2364,pflanzenschutz einpacken wenn das so geht he
d1198_2-T2365,die kolbendichtungen so weich geworden sind dass sie nicht mehr gepumpt haben
d1198_2-T2366,das gras sollte noch klein grüner werden
d1198_2-T2367,ja wegen dass die die die deutschen sich nicht hätten können orientieren
d1198_2-T2368,oder auch die amerikaner
d1198_2-T2369,dass sie sich nicht
d1198_2-T2370,von obenabhin nicht können orientieren wo ist eine stadt he
d1198_2-T2371,wo das und das dorf nicht und
d1198_2-T2372,und dann gleich noch paar bomben auch auf die schweiz abhingefallen
d1198_2-T2373,aber nicht von den deutschen oder
d1198_2-T2374,von den amerikanern
d1198_2-T2375,selb habe ich noch beschrieben das datum ja
d1198_2-T2376,aber das hat ihnen also
d1198_2-T2377,grosse überlegungen haben sie sonst keine gemacht zur verdunkelung
d1198_2-T2378,hat sich das dann verändert gehabt später
d1198_2-T2379,ja
d1198_2-T2380,hat einfach müssen sein
d1198_2-T2381,einfach so gewesen
d1198_2-T2382,da hat es kein wenn und kein aber gegeben
d1198_2-T2383,hat einfach wieder geheissen jetzt ist verdunkelt he
d1198_2-T2384,aus ja
d1198_2-T2385,also jetzt schon zwanzig jahre
d1198_2-T2386,so dann möchte ich jetzt noch zu einem anderen thema sie haben schon erwähnt gehabt sie haben mit pflanzenschutzmitteln zu tun gehabt
d1198_2-T2387,einen bezug hat mit dem zweiten weltkrieg zum beispiel
d1198_2-T2389,gemeint das sei eine riesen aufgabe he
d1198_2-T2390,jaja fünfunddreissig an
d1198_2-T2391,und zwar
d1198_2-T2392,für was was für pflanzen
d1198_2-T2393,wie
d1198_2-T2394,für was für pflanzen
d1198_2-T2395,vor allem im obstbau
d1198_2-T2396,nicht ich habe dann eben gefunden ich müsse eine neben
d1198_2-T2397,beschäftigung haben als kleiner bauer
d1198_2-T2398,und habe dann angefangen bäume spritzen
d1198_2-T2399,und ich verwundere mich heute noch mehr wie dazumal
d1198_2-T2400,holocaust da hat man immer geld gesammelt ist immer geld gekommen
d1198_2-T2401,wie schnell dass das interesse gewachsen ist
d1198_2-T2402,zuerst habe ich mit einer handspritze zwei jahre das gemacht pumpen von hand
d1198_2-T2403,und dann nachher habe ich zwei jahre einen traktor gemietet mit einer spritze
d1198_2-T2404,ich habe im dreiundfünfzig von müssen von
d1198_2-T2405,leistungsfähig und nachher habe ich selber einen können kaufen he
d1198_2-T2406,und
d1198_2-T2407,der ackerbau ist zemal da gewesen
d1198_2-T2408,und da hat es irrsinnig viel gegeben zum lernen
d1198_2-T2409,was haben sie denn was haben sie denn gespritzt vor dem krieg was für ein mittel
d1198_2-T2410,vor dem krieg
d1198_2-T2411,haben wir nur ein mittel gekannt gegen die obstmade zum beispiel auch wegen dem wurmstichig werden vom apfel
d1198_2-T2412,blei-arsen
