Filename,Transcript
d1082_2-TLI_101,
d1082_2-TLI_101,chan i wiiterrede
d1082_2-TLI_11,wo
d1082_2-TLI_11,isch äär wider gsund woorde
d1082_2-TLI_121,jaa also über di roote falke
d1082_2-TLI_121,was isch das für e organisazioon gsii
d1082_2-TLI_144,und dänn han i
d1082_2-TLI_144,was isch dänn äggsgüse die roote falke füür poliitischi
d1082_2-TLI_181,näi hüt hät sich das totaal gänderet
d1082_2-TLI_181,wüd me ja hüt nüme politisch verbinde
d1082_2-TLI_249,
d1082_2-TLI_249,dänn im underschiid zu anderne jugendorganisazioone wie d pfadii
d1082_2-TLI_250,jaa
d1082_2-TLI_250,händ sii gsäit isch soo kwaasi gliichschtelig gsii mäitli buebe
d1082_2-TLI_251,das isch jaa es isch tränt gsii
d1082_2-TLI_251,bi de pfadi isch glaubs ja immer no tränig
d1082_2-TLI_252,ja das hät s alsoo psunders atraktiiv gmacht
d1082_2-TLI_252,s isch tränt gsii und dänn hät s no de gää alsoo
d1082_2-TLI_254,das isch mee chrischtlich kirchlich ja
d1082_2-TLI_254,jaa ja das isch chrischtlich gsii das hät s ä ggä
d1082_2-TLI_255,und das isch öppis wo ja s isch bürgerlich gsii
d1082_2-TLI_255,und d pfadi isch dänn mee bürgerlich gsii
d1082_2-TLI_259,jaa
d1082_2-TLI_259,si händ au schportlichi aaläss ärwäänt was händ sii deet gnau gmacht
d1082_2-TLI_272,aber sii händ gliich täilgnoo a däne magglinge
d1082_2-TLI_272,jaa ja me hät äifach täilgnoo
d1082_2-TLI_276,jaa
d1082_2-TLI_276,jez so als schportlichi jungi frau aafangs viirzgerjaar s hät ja
d1082_2-TLI_278,näi näi
d1082_2-TLI_278,fuessbalschpiil groosstütschland schwiiz ärinnere nünzehundertäineviirzg
d1082_2-TLI_279,sind sii weniger tschutibegäischteret gsii
d1082_2-TLI_279,ich mus säge das hät miich äigendlich weniger interessiirt
d1082_2-TLI_280,jaa aso aso ich wäiss nu das miir
d1082_2-TLI_280,wo ebe groosstütschland vo de schwiiz zwäi äis uf de sak überchoo hät
d1082_2-TLI_285,händ sii dänn au politischi bildig ghaa
d1082_2-TLI_285,aso
d1082_2-TLI_286,jaa
d1082_2-TLI_286,i bi de roote falke
d1082_2-TLI_314,gläse oder
d1082_2-TLI_314,näi das hämmer nööd
d1082_2-TLI_315,i däm sinn politischi bildig
d1082_2-TLI_315,also näi das hämmer nööd
d1082_2-TLI_329,das
d1082_2-TLI_329,das isch im chräis vier
d1082_2-TLI_330,das kafi böi a de siilfäldschtraass hundertzwäiezwänzg
d1082_2-TLI_330,gälled sii
d1082_2-TLI_348,näi näi
d1082_2-TLI_348,i die suntigschuel warschiinli au scho z alt gsii
d1082_2-TLI_351,jaa
d1082_2-TLI_351,sii händ no vo lieder gschwäzt
d1082_2-TLI_354,hützutaag sind die warschiinli scho ender bekant
d1082_2-TLI_354,jaa also ich das isch s liederbüechli isch daa
d1082_2-TLI_356,ja ja also zum bischpiil hämmer s mööslilied ghaa
d1082_2-TLI_356,nume wänd sii grad igedwie usswändig
d1082_2-TLI_359,und dänn hämmer das lied ghaa
d1082_2-TLI_359,ja
d1082_2-TLI_379,jaa also mir sind
d1082_2-TLI_379,und wänn jaa ja i welem zämehang
d1082_2-TLI_383,und wämmer no zruggönd i d driissgerjaar
d1082_2-TLI_383,aso
d1082_2-TLI_407,
d1082_2-TLI_407,sind sii das ggabaree ggornischõõ emaal go psueche
d1082_2-TLI_435,jaa jaa
d1082_2-TLI_435,wo jez d soldaate ja ä no trääged
d1082_2-TLI_439,und de grabschtäi hät me müese aalegge wämme zum huus uus isch oder
d1082_2-TLI_439,näi
d1082_2-TLI_457,aber näi da mag ich mich nöd ärinnere
d1082_2-TLI_457,nie kontakt is
d1082_2-TLI_46,i welem jaar isch er genau gschtorbe
d1082_2-TLI_46,
d1082_2-TLI_463,jaa
d1082_2-TLI_463,wo daa z züri ja schtatgfunde hät händ sii daa ärinnerige sind sii als chind
d1082_2-TLI_464,ja me sind gsii aber ich ha käi ärinnerige
d1082_2-TLI_464,
d1082_2-TLI_472,jaa das isch e bürgerlichi wält gsii und das isch
d1082_2-TLI_472,also eener e bürgerlichi wält
d1082_2-TLI_476,schtatgfunde händ sii aso im septämber händ sii ärinnerige draa
d1082_2-TLI_476,jaa
d1082_2-TLI_477,näi a daas han ich käi ärinnerige
d1082_2-TLI_477,
d1082_2-TLI_478,näi näi da han ich e käi ärinnerige
d1082_2-TLI_478,kän vatter mee dehäi gsii wo da iizoge woorden isch
d1082_2-TLI_481,
d1082_2-TLI_481,hät sich daa öppis veränderet vo de härte
d1082_2-TLI_482,es hät sich äigentlich bi öis
d1082_2-TLI_482,wirtschaftskriise
d1082_2-TLI_491,es isch es hät sich nüüt veränderet
d1082_2-TLI_491,händ sii en garte ghaa
