Filename,Transcript
d1244_1-TLI_159,sie sagen sie sagen sie haben ein intakte familie gehabt
d1244_1-TLI_159,
d1244_1-TLI_182,für das bekenntnis zur
d1244_1-TLI_182,zur landesverteidigung
d1244_1-TLI_193,sie sind also sie sind also ganz in den sozialdemokraten
d1244_1-TLI_193,
d1244_1-TLI_194,verankert gewesen aufgewachsen und verankert gewesen
d1244_1-TLI_194,aufgewachsen zuerst eindeutig und der umschwung
d1244_1-TLI_303,wie ist es dann dazugekommen dass sie tatsächlich
d1244_1-TLI_303,
d1244_1-TLI_304,ja ich bin ich bin das
d1244_1-TLI_304,in die kommunistischen partei eingetreten
d1244_1-TLI_349,können wir nochmal zu einer ganz persönlich zurück sie haben gesagt zuerst sind sie
d1244_1-TLI_349,ja
d1244_1-TLI_350,überrascht gewesen also sie haben sogar noch stärker
d1244_1-TLI_350,ja
d1244_1-TLI_351,ja
d1244_1-TLI_351,sind frustriert gewesen das hat überhaupt nicht in das konzept
d1244_1-TLI_352,ja
d1244_1-TLI_352,inhingepasst wo sie sich zurechtgelegt gehabt haben wie kommt es aber dazu dass sie gerade
d1244_1-TLI_374,absichtserklärungen von seite von der sowjetunion
d1244_1-TLI_374,ja hundertprozentig dem haben wir natürlich ist ja so gewesen also
d1244_1-TLI_412,darf ich da
d1244_1-TLI_412,eben auf der seite von der sowjetunion gestanden sind
d1244_1-TLI_414,ja ja
d1244_1-TLI_414,da stalin sowjetunion
d1244_1-TLI_417,einen moment zum in die kommunistischen partei einzutreten wie
d1244_1-TLI_417,jawohl
d1244_1-TLI_423,ja genau
d1244_1-TLI_423,von ihnen eingeot wie ist es möglich wie wie muss ich mir ihre logik vorstellen
d1244_1-TLI_479,
d1244_1-TLI_479,wir haben von dem moment geredet
d1244_1-TLI_488,für den kommunismus innerhalb von der schweizer armee
d1244_1-TLI_488,von der armee ja
d1244_1-TLI_545,wie ist es zu verhaftung gekommen von ihnen
d1244_1-TLI_545,und dann
d1244_1-TLI_604,ein mitglied von den kommunistischen partei
d1244_1-TLI_604,nein das haben sie nicht gewusst
d1244_1-TLI_615,was sind denn das
d1244_1-TLI_615,es ist für mich es ist für mich eben
d1244_1-TLI_651,gewissen
d1244_1-TLI_651,wer sind die violetten
d1244_1-TLI_679,ist ein vorwand gewesen
d1244_1-TLI_679,das würde also zu weit führen
d1244_1-TLI_680,ist ein ist ein eindeutigen vorwand gewesen
d1244_1-TLI_680,meinen sie dann jetzt
d1244_1-TLI_713,das erste also eben in der untersuchungshaft
d1244_1-TLI_713,verbracht
d1244_1-TLI_717,abgesessen
d1244_1-TLI_717,wie ist die wie ist die zeit
d1244_1-TLI_719,nein nein voranhin
d1244_1-TLI_719,was haben sie da für eine erfahrung gemacht das ist ja das erste mool dass sie längere zeit im gefängnis
d1244_1-TLI_806,worden sind
d1244_1-TLI_806,ja das ist ganz klar und dann ist noch das gewesen
d1244_1-TLI_94,haben sie dort auch schon kontakt gehabt zu den kommunistischen partei
d1244_1-TLI_94,nein gar nicht
d1215_1-TLI_1,ja es lies gegeben
d1215_1-TLI_1,mh
d1215_1-TLI_102,der dorf ja
d1215_1-TLI_102,also ihr dorf bangenen
d1215_1-TLI_103,ja
d1215_1-TLI_103,wie gross ist ist das
d1215_1-TLI_139,also schaffen hat geheissen bei seiner arbeiten helfen
d1215_1-TLI_139,ja
d1215_1-TLI_140,ja
d1215_1-TLI_140,oder auch am haus oder
d1215_1-TLI_152,
d1215_1-TLI_152,wenn haben sie
d1215_1-TLI_153,wenn
d1215_1-TLI_153,
d1215_1-TLI_154,ja
d1215_1-TLI_154,elektrische grat haben wir kein einziges gehabt im haus habe
d1215_1-TLI_159,ja
d1215_1-TLI_159,also elektrisches licht haben sie schon gehabt mh
d1215_1-TLI_179,ja
d1215_1-TLI_179,und dann hat eine gärtnerei gehabt ihr meister
d1215_1-TLI_22,also zurück zu ihrem vater
d1215_1-TLI_22,und dort ja
d1215_1-TLI_277,also wie wie haben sie denn das verstanden die schüler die nachricht
d1215_1-TLI_277,bitte
d1215_1-TLI_3,
d1215_1-TLI_3,herr b*** dass sie uns eingeladen haben für das interview
d1215_1-TLI_30,also wo sie von bern wieder zurück auf bangenen gekommen sind
d1215_1-TLI_30,ja ja
d1215_1-TLI_314,
d1215_1-TLI_314,was hat sie interessiert daran
d1215_1-TLI_336,ja
d1215_1-TLI_336,aber früher haben sie sogar als lehrlinge haben sie das können kaufen im
d1215_1-TLI_340,nein nein da mag mich nicht erinnern
d1215_1-TLI_340,vor dem krieg
d1215_1-TLI_361,lebt der hat das warenhaus bern gehört im
d1215_1-TLI_361,leben
d1215_1-TLI_375,ja
d1215_1-TLI_375,ist er irgendwie dadurch in exot gewesen für sie
d1215_1-TLI_382,so igendwelche gerüchte
d1215_1-TLI_382,ja von dem hat man gehört ja
d1215_1-TLI_385,die deutschen haben das natürlich bestritten
d1215_1-TLI_385,was
d1215_1-TLI_387,ja mich hat
d1215_1-TLI_387,beispiel herr leben oder so
d1215_1-TLI_407,
d1215_1-TLI_407,also was was zum beispiel was sie verzählt haben oder
d1215_1-TLI_409,nein sonst mag mich auch nichts mehr erinnern
d1215_1-TLI_409,was er ihnen auch noch verzählt hat
d1215_1-TLI_43,mh
d1215_1-TLI_43,und nachher ist mobilisation gekommen
d1215_1-TLI_434,also sie haben das gefühl gehabt andere darüber geredet haben das sei irgendwas im busch
d1215_1-TLI_434,ja
d1215_1-TLI_437,eigentlich nicht
d1215_1-TLI_437,für politische fragen oder die politisch situation interessiert
d1215_1-TLI_44,
d1215_1-TLI_44,was hat was hat dann ihr vater gemacht
d1215_1-TLI_478,nein mich hat sich das nicht
d1215_1-TLI_478,aber haben sie gewusst was für ideen hinter dem nazionaalsozialismus stehen ist das ihnen überhaupt einen begriff gewesen nazionaalsozialismus
d1215_1-TLI_485,nicht so schlimm gut sie gerade einen
d1215_1-TLI_485,
d1215_1-TLI_502,im dorf auf dem berg
d1215_1-TLI_502,ja das ist in der stadt wir sind ja
d1215_1-TLI_507,
d1215_1-TLI_507,wo schwierigkeiten haben
d1215_1-TLI_542,auf dem
d1215_1-TLI_542,aber ihr bruder ist nicht arbeitslos gewesen
d1215_1-TLI_548,ja
d1215_1-TLI_548,um die arbeitslosigkeit zu bekämpfen
d1215_1-TLI_555,dem fall
d1215_1-TLI_555,ja mich hat einfach so das gefühl gehabt
d1215_1-TLI_566,mich hat in der zeitung gelesen
d1215_1-TLI_566,ich meine jetzt
d1215_1-TLI_567,ja achtunddreissig und dort
d1215_1-TLI_567,ich meine jetzt achtunddreissig wo österreich angeschlagen
d1215_1-TLI_602,sie ist angestellt gewesen dort
d1215_1-TLI_602,verstehen das wort nicht ganz
d1215_1-TLI_607,das sind jumpfern gewesen das ist eine
d1215_1-TLI_607,also das gegenpol zum knecht
d1215_1-TLI_61,nach dem ersten weltkrieg ja
d1215_1-TLI_61,also nach dem nach dem ersten weltkrieg meinen sie
d1215_1-TLI_713,bitte
d1215_1-TLI_713,was sind sie gewesen von denen vier
d1215_1-TLI_752,ja
d1215_1-TLI_752,also in der küche sind auch andere gewesen wo
d1215_1-TLI_753,ich bin nicht der einzig gewesen das
d1215_1-TLI_753,ab
d1215_1-TLI_768,ja
d1215_1-TLI_768,nein ich meine achtunddreissig haben sie die eres gemacht haben sie
d1215_1-TLI_93,und auf die getan ja
d1215_1-TLI_93,also sie haben sie geschichtet oben
d1215_1-TLI_95,ja das ist einfach gegangen wie am wie am fliessband
d1215_1-TLI_95,wie gross
d1248-T1106,ja
d1248-T1106,mit der frontisten leistenverbindung eingegangen ist
d1248-T1151,ja ja ja das sind sie gewesen
d1248-T1151,die jüdischen mitbürger auch gewesen sind und was sie für einen einfluss gehabt haben
d1248-T1157,in baden
d1248-T1157,
